,lifespan,herbivore_initial_probability,low_predator_initial_probability,top_predator_initial_probability,herbivore_reproduction_rate,low_predator_reproduction_rate,top_predator_reproduction_rate,low_predator_starvation_rate,top_predator_starvation_rate
0,12,0.7492200103747964,0.12871150984615376,0.12206847977904989,0.9358940580449427,0.20196932689322822,0.5862438387222851,24,12
1,3,0.05734625486120837,0.051471400460786354,0.8911823446780053,0.4401491854935905,0.45840063985061186,0.295602816695132,30,5
2,500,0.8423012819491555,0.03347573019461059,0.12422298785623387,0.3006278398509993,0.08044548172314558,0.29924233854404136,47,8
3,1,0.01981005635595401,0.015907682080077867,0.9642822615639681,0.18822576747926012,0.2440647639361756,0.23532550494280569,6,45
4,500,0.5971266911733706,0.011216690481876457,0.39165661834475296,0.7549315392780853,0.23626288535038176,0.5738856063451577,13,8
5,0,0.027552003706357242,0.6922611038494144,0.28018689244422834,0.4277682112206621,0.9724723362943127,0.6937520074206202,47,25
6,500,0.3162714293710678,0.0655041306037798,0.6182244400251524,0.8399729426846264,0.13355994024714057,0.8621869445478355,46,5
7,6,0.44621599974269033,0.23815643337981873,0.31562756687749094,0.847067313544425,0.717113682865033,0.1427816433413217,35,11
8,1,0.0868073716779818,0.57221493701636,0.34097769130565825,0.24260734009518103,0.4181352353741036,0.6140068506874149,4,34
9,16,0.8035969805310269,0.12029998417161991,0.07610303529735318,0.49538224585927826,0.30794229053538913,0.4579594228137559,8,29
10,30,0.5763269632616236,0.04240232939723165,0.38127070734114477,0.0712390963888675,0.9471743785608889,0.8261893338241404,40,49
11,1,0.2871355365995023,0.6691965106139354,0.043667952786562325,0.5788271212962655,0.6183392319728004,0.5685080863241885,46,43
12,500,0.43876981428102046,0.04344488128480539,0.5177853044341741,0.25916657101842844,0.34873897947884747,0.4686288381236665,33,4
13,1,0.011396865242933596,0.21983667499679815,0.7687664597602683,0.2947837965773725,0.242691941272148,0.7352601639394164,23,39
14,500,0.27321264223377373,0.05002964705064605,0.6767577107155802,0.3635578001293881,0.17992268317892202,0.7506974785641971,4,10
15,500,0.8409199507328818,0.01231279882281,0.14676725044430816,0.8772260453444461,0.6724397055439149,0.4632439950246279,25,21
16,5,0.31503186023872787,0.2744355899811086,0.4105325497801635,0.9103875401731261,0.22325837849548724,0.938280936216396,4,43
17,0,0.03134292685666995,0.6611209683793574,0.30753610476397264,0.592345899956104,0.10036807796805558,0.6290929172560884,16,41
18,19,0.23507431944791357,0.011802403273928341,0.7531232772781581,0.07483401816234714,0.15804781856331285,0.9701451460127813,21,17
19,5,0.34466014812313617,0.30138420374580543,0.3539556481310584,0.4364293249359048,0.8983859546923926,0.8875403490352894,2,41
20,3,0.5598148848404485,0.4245256429346357,0.015659472224915816,0.5001857572641315,0.34635008388265875,0.795230038712233,17,17
21,8,0.3945414867379331,0.20127544043084755,0.40418307283121935,0.5086766514572139,0.6863672533056329,0.01293857024597267,37,34
22,4,0.12686042917033868,0.24226066858829776,0.6308789022413636,0.06271567476572604,0.49684270899083394,0.18928755542117748,6,23
23,8,0.29938136565874296,0.0005312272168487286,0.7000874071244083,0.05890125273379565,0.011471437716696897,0.8971241914684398,32,19
24,4,0.38952329817606246,0.4279466418348905,0.18253005998904703,0.6371692332131353,0.15743496312466732,0.1868339127038433,39,31
25,4,0.0761167557380239,0.10510563446187238,0.8187776098001037,0.26442199050804394,0.31907334360450823,0.1628321821257066,25,38
26,1,0.1793094140057815,0.6794168792938057,0.14127370670041284,0.5478953064266651,0.5428859239850264,0.697650277722489,26,5
27,6,0.5609528647216397,0.2919750803105041,0.14707205496785614,0.03465912872770549,0.8522670473759354,0.5082490243994301,26,11
28,2,0.4232292781615421,0.5105009420350188,0.06626977980343907,0.6494980105572981,0.1309031325037674,0.19537141283882464,44,34
29,4,0.30235261243983025,0.44578967725786134,0.2518577103023084,0.24614138766060134,0.7359948853375908,0.846364677202403,21,17
30,2,0.055218304732485346,0.37217410423294284,0.5726075910345718,0.020085065938900803,0.626359474928807,0.769709529937099,6,41
31,7,0.6812044604621168,0.2396115878933176,0.0791839516445656,0.5049251090053196,0.23207196009472408,0.867709162625751,50,37
32,10,0.5185060657945998,0.24169819552422322,0.23979573868117698,0.26497363599304846,0.5337604709463423,0.3982174409545839,39,45
33,8,0.6865837658311515,0.21660423343689406,0.0968120007319544,0.8907546060779536,0.9083841475933236,0.7992082597705952,13,11
34,500,0.31661927326993555,0.07249788655481515,0.6108828401752493,0.7584536971258484,0.12652844335744984,0.19566970115311688,20,6
35,7,0.174682682343543,0.3187722623862935,0.5065450552701635,0.2076205693502271,0.9453473200567604,0.3018093818131551,3,27
36,10,0.300804974520395,0.17993776730477073,0.5192572581748343,0.48365711609074225,0.6865067200209473,0.865339408422207,12,36
37,0,0.0323171862849333,0.4993858329789994,0.4682969807360673,0.33064668076092174,0.5662585103531914,0.6605478498440878,46,7
38,8,0.3926706967086341,0.2075142549436837,0.3998150483476822,0.7728388289883308,0.17700465356259054,0.3514143686555984,19,10
39,1,0.0746164802718653,0.5122223153319649,0.41316120439616977,0.952299335402125,0.6019566639848264,0.2827260068869867,28,47
40,6,0.2584943408264877,0.3702080935635069,0.3712975656100054,0.030109177234505347,0.4203532021986709,0.5282769960620656,8,23
41,4,0.1004479151655091,0.2798053780982418,0.6197467067362491,0.7469760771424006,0.32244585869444686,0.4053808180816538,17,43
42,500,0.4364875886239641,0.029976989842184665,0.5335354215338513,0.8640490479598608,0.27528430862581665,0.6074408531701317,17,15
43,6,0.15513757848850962,0.16367764198161505,0.6811847795298753,0.15623976465616018,0.45528044275531354,0.6338961620854069,31,35
44,33,0.8466136212730714,0.027265671774782896,0.12612070695214572,0.38487735197171236,0.08417052319394247,0.7321362075499666,21,21
45,6,0.11749774043866978,0.07574620412429323,0.806756055437037,0.6029132838938587,0.7121276777410112,0.18053877253984574,13,34
46,2,0.1433798065224401,0.4223398231505542,0.4342803703270057,0.988800135311632,0.6411552800910982,0.49875450381801234,36,15
47,3,0.08044801202423901,0.29184276507844686,0.6277092228973141,0.2972435352294961,0.1335429764713475,0.555078967782176,31,22
48,2,0.1974474947662399,0.541883642219395,0.2606688630143651,0.5848567478709661,0.20245888839872528,0.840628180200601,6,2
49,4,0.10631721386983906,0.17792392986226735,0.7157588562678936,0.40681363506295565,0.3728948682275335,0.9944864021984101,5,22
50,1,0.08796176393298083,0.6474512270757063,0.2645870089913128,0.5036746460058779,0.2035396539019394,0.035599463677200904,14,42
51,13,0.6378386585433572,0.15282990171481048,0.20933143974183233,0.6131283406360946,0.8741534259969856,0.774175977694364,40,50
52,3,0.12930408524458092,0.4651246798734643,0.4055712348819548,0.4630012619170871,0.4009397644489322,0.26997783740980497,43,43
53,26,0.3811320492943142,0.010034161431658473,0.6088337892740273,0.918690008011782,0.32140610926770263,0.8233903086216846,50,29
